Class_Label,lemmatized_tokens,html_tag_count,css_tag_count,spam_phrase_count,link_count,grammar_error_count,misspelled_word_count
Normal,"['let', 'know', 'get', 'quote', 'pay', 'something', 'range', 'would', 'like', 'see', 'quote', 'description', 'work', 'done', 'understanding', 'rock', 'removed', 'siding', 'getting', 'quote', 'put', 'new', 'rock', 'need', 'clarify', 'ready', 'drop', 'dollar', 'amount', 'release', 'negotiation', 'stall', 'like', 'need', 'go', 'ahead', 'cut', 'utility', 'hopefully', 'thing', 'go', 'smoothly']",0,0,3,0,0,3
Normal,"['eric', 'instruction', 'meeting', 'per', 'phon']",0,0,1,0,3,14
Normal,"['please', 'remove', 'bob', 'thank']",0,0,1,0,3,4
Normal,"['go', 'ahead', 'order', 'summary', 'rent', 'collected', 'august', 'need', 'finish', 'tax', 'return', 'expense', 'data', 'rent', 'collection', 'number', 'thank']",0,0,2,0,1,2
Normal,"['detail', 'offer', 'else', 'clean', 'cap', 'good', 'location', 'room', 'expand']",0,0,2,0,1,4
Normal,"['yard', 'like', 'enough', 'hour', 'long', 'take', 'think', 'enough', 'use', 'page', 'setup', 'file', 'menu', 'change', 'portrait', 'landscape', 'want', 'change', 'printing', 'vertically', 'printing', 'horizontally', 'also', 'try', 'fit', 'one', 'page', 'want', 'print', 'one', 'page', 'use', 'print', 'preview', 'see', 'print', 'look', 'like', 'print', 'truck', 'might', 'need', 'new', 'around', 'mile', 'valve', 'adjustment', 'might', 'good', 'high', 'last', 'mile', 'never', 'broken', 'glad', 'hear', 'good', 'deposit', 'week', 'great', 'job']",0,0,2,0,3,5
Normal,"['file', 'gas', 'basis', 'mar']",0,0,1,0,0,0
Normal,"['b', 'western', 'strategy', 'summary', 'slide', 'f']",0,0,2,0,4,13
Normal,"['let', 'deposit', 'interruption', 'rent']",0,0,2,0,0,2
Normal,"['team', 'please', 'respond', 'exclusive', 'new', 'animation']",0,0,1,0,3,15
Normal,"['please', 'switch', 'access', 'central', 'west', 'password', 'thank']",0,0,1,0,2,3
Normal,"['try', 'attachment', 'attached']",0,0,1,0,0,0
