Class_Label,cleaned_text
Normal,let know get quotes pauline expecting pay something range would like see quotes description work done understanding rock removed replaced siding getting quotes put new rock need clarify jacques ready drop dollar amount release negotiations stall seems like need go ahead cut utilities hopefully things go smoothly phillip
Normal,phillip allenhouect eric bensonenron phillip allenhouectect instructions ferc meetings mr allen per phon
Normal,steve please remove bob shiring liz rivera rc thank phillip allen
Normal,go ahead order ac email fax summary rents collected august december need finish tax return expense data rent collection fax number thank phillip
Normal,anymore details offer else clean cap good location room expand
Normal,yard seems like enough hours long take think enough use page setup file menu change portrait landscape want change printing vertically printing horizontally also try selecting fit one page want print one page use print preview see print look like print truck might need new sparkplugs around miles valve adjustment might good idled high last miles never broken glad hear good deposit week great job february phillip
Normal,file updated renamed gas basis mar
Normal,phillip allenhouect tim heizenrader james b fallonhouectect phillip allenhouectect western strategy summaries slides f
Normal,ok let deposit rollover interruption rent
Normal,phillip allenhouect shockwave team please respond released exclusive new animation fr
Normal,imelda please switch sitara access central west email password thank phillip
Normal,try attachment attached
Normal,frank implied risk created san juan rockies indeces partially set today risk long futures position whatever risk prior matter since rest books short price large offset var calculation match companys true risk needs revised adjusted phillip
Normal,mary transferred checking account monday call monday tuesday see new phillip
Normal,jeff lets close march phillip
Normal,phillip allenhouect jennifer fraser stephanie millercorpenronenron julie gomezhouectect phillip
Normal,tara received email setting paul lucci niccole cortez executable ids rights set fine thank help phillip
Normal,mary sure attachment right file attached message please try phillip
Normal,mary got email go ahead get carpet shampooer make sure comes back clean use wade tenants far w looked rules withholding social security call later today discuss phillip
Normal,appeal skilling phillip allenhouect lee wrightenron phillip allenhouectect amelia alderotsenronenron storage cycles body shop phillip applaud using cycle daily transportation saves gas pollution helps keep strong healthy enron provides bike racks front building requests phillip wish could accommodate request however body shop capacity assume responsibility storing cycles daily basis bring good lock able secure bike designated outside racks keep pedalling lee
Normal,phillip allenhouect tim heizenrader james b fallonhouectect phillip allenhouectect tim beldenhouectect western stra
Normal,phillip allenhouect george rahal w basis quotes ill get ba
Normal,phillip allenhouect george rahal w basis quotes ill get ba
Normal,spoke insurance company going cancel prorate policy work kuos issue new policy
Normal,please get randy resolve
Normal,george please call credit desk received financials acn power thanks phillip allen
Normal,kim doublecheck julie g think ok pay jan demand charges
Normal,think steven wolf person talk moving kim olinger different rc code
Normal,still issue
Normal,phillip allenhouect mary richards phillip allenhouectect revised suppvendor
Normal,jim updated curves sent later monday want keith involved process today sorry slow turnaround phillip
Normal,tara note documentation approval granting executing ids west cash traders thank help phillip
Normal,file showed
Normal,vishal resigned today
Normal,phillip allenhouect frank haydenenronenronxgate cdt phillip allenhouectect john arnoldhouectect fyi sell
Normal,julie numbers january actual flows x gas daily spreads actual flow x index spreads jan value original bid estimated cost unwind hedges based numbers suggest offer pay least want input negotiate el paso push actual value seasonal shape unwind costs phillip
Normal,phillip allenhouect matthew lenhart phillip allenhouectect mike grigsbyhouectect dopewars forwa
Normal,phillip allenhouect phillip allenhouectect subjec
Normal,didnt get review give feedback tomorrow morning phillip
Normal,tara please make following changes ftwest change master user phillip allen keith holst imwestchange master user bob shiring phillip allen mock existing profiles please make changes noon thank phillip
